ESTADO,MUNICÍPIO,REGIONAL,Com qual gênero você se identifica?,Qual é a sua idade?,Qual é o seu grau de escolaridade?,Quantas pessoas vivem na sua casa?,Qual a renda mensal da sua família?,Faixa Renda,Renda Per Capita,Faixa Renda Per Capita,Salário utilizado para pagar a conta,"De 1 a 10, qual nota você dá para o fornecimento de energia sem interrupção, ou seja, não faltar luz na sua casa?","De 1 a 10, que nota você dá para a variação da energia, ou seja, sem ficar alternando luz forte com luz fraca na sua casa?","De 1 a 10, qual nota você atribui para a rapidez na volta da energia quando falta energia na sua casa, ou seja, o tempo que leva para a energia voltar, quando falta?","Alguma vez você recebeu algum aviso da EMPRESA DE ENERGIA, informando que você ficaria sem energia, por causa da realização de serviços para melhorar a rede elétrica?","Caso sim, como você ficou sabendo que a falta de energia aconteceu por causa de um serviço de melhoria da rede elétrica que tinha sido programado pela EMPRESA DE ENERGIA? (Citar os possíveis canais para medir qual o meio de comunicação mais eficaz)","De 1 a 10, como você avalia o aviso recebido?",A EMPRESA DE ENERGIA fornece orientações para evitar o desperdício de energia?,"A EMPRESA DE ENERGIA orienta o cliente sobre a medição do consumo de energia, ou seja, como se faz a leitura do medidor?",A EMPRESA DE ENERGIA informa aos clientes sobre os riscos e perigos da rede elétrica?,A EMPRESA DE ENERGIA esclarece aos clientes sobre seus direitos e deveres?,Você recebe mensalmente sua conta de luz?,Por onde você recebe sua conta de luz?,Dê uma nota de 1 até 10 para o prazo entre o recebimento da conta e o vencimento (pagamento) da conta.,"Dê uma nota de 1 até 10 para a conta de luz sem erros, ou seja, com a leitura do seu consumo correta.",Dê uma nota de 1 até 10 para a facilidade no entendimento das informações que estão na conta de luz.,"Dê uma nota de 1 até 10 para a disponibilidade de locais para pagamento (tais como bancos, internet, correios, rede comercial conveniada tais como supermercados, farmácias dentre outros). ",Dê uma nota de 1 até 10 para a data de vencimento da conta de luz.,Você sabia que é possível alterar a data do vencimento da sua fatura?,Mudar a data do vencimento te ajudaria?,"Você já entrou em contato com a EMPRESA DE ENERGIA, qual o canal de comunicação foi utilizado? (qual canal?)",Qual serviço foi solicitado?,Dê uma nota de 1 até 10 para a facilidade para entrar em contato com a empresa quando quiser pedir informações ou serviços.,"Qual nota você atribui para o tempo de espera de atendimento da EMPRESA DE ENERGIA, seja por telefone, agência EMPRESA DE ENERGIA ou colaborador em campo (eletricista, leiturista etc). (notas de 1 até 10)",Qual nota você atribui a agilidade/rapidez do atendimento ao consumidor (pessoa que o atende por telefone ou na agência da EMPRESA DE ENERGIA)? (nota de 1 até 10),"De 1 a 10, qual nota você atribui para o conhecimento que os colaboradores EMPRESA DE ENERGIA têm sobre o assunto, sobre conseguir responder suas dúvidas.","De 1 a 10, qual nota você atribui para facilidade de entendimento das informações dadas pela EMPRESA DE ENERGIA (as informações são claras e fáceis de entender)?","De 1 a 10, qual nota você atribui para a educação e gentileza da equipe?",Dê uma nota de 1 até 10 para o prazo informado pela empresa para a realização dos serviços solicitados pelo consumidor.,"Dê uma nota de 1 até 10 para solução definitiva do problema, ou seja, resolver o problema de uma vez.",Dê uma nota de 1 até 10 para o cumprimento do prazo informado pela empresa para resolver as solicitações dos consumidores.,A EMPRESA DE ENERGIA respeita os direitos dos consumidores?,A EMPRESA DE ENERGIA é justa com os consumidores?,"A EMPRESA DE ENERGIA investe na melhoria da qualidade do fornecimento de energia, ou seja, investe em melhorias do fornecimento de energia, como por exemplo, faz manutenção em transformadores, em fios, em postes etc?",A EMPRESA DE ENERGIA comunica aos seus consumidores sobre a sua atuação e atividades realizadas? (Nota de 1 até 10),"De 1 a 10, a EMPRESA DE ENERGIA combate o consumo irregular da energia elétrica, por exemplo fraudes como gatos, furto de energia etc?",A EMPRESA DE ENERGIA fornece atendimentos sem discriminação ou imparcialidade?,"A EMPRESA DE ENERGIA está disposta a negociar com seus clientes, como por exemplo em parcelamento de faturas?",A EMPRESA DE ENERGIA cuida do meio ambiente?,"A EMPRESA DE ENERGIA é uma empresa preparada organizada para atender casos de emergência (enchentes, deslizamentos de terra, incêndio, tempestades muito fortes com muito vento)?",SATISFACAO_GERAL,Quanto mais ou menos você paga por mês em sua conta de luz?,"Como você considera o valor da conta de energia de 1 a 5, onde 1 é muito caro, 3 normal e 5 muito barato?",PerCapitaCategoria,Comprometimento (%),UF,Vulneravel_Renda,Vulneravel_Educacao,Pobreza_Energetica,Vulneravel_Multiplo,Faixa_Comprometimento
ALAGOAS,VICOSA,LESTE,Feminino,41 - 50,Médio completo,1,2200.0,De 2001 a 2500,2200.0,Acima de 2000,Menos que 10%,5,5,8,Sim,Jornal,4,9,5,6,5,Sim,Impressa e entregue pelo leiturista,3,6,3,7,2,Não,Não,Agência,Religação de energia,4,1,5,3,4,2,1,4,2,6,3,2,4,4,2,4,5,4,5,175,4.0,Classe B,7.954545454545454,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Feminino,51 - 60,Médio completo,3,2500.0,De 2001 a 2500,833.3333333333334,De 801 a 900,De 51 a 60%,9,9,3,Sim,Rádio,10,7,5,4,5,Sim,E-mail,9,9,8,10,5,Sim,Não,Eletricista/ Leiturista,Informações gerais,1,1,2,2,4,5,1,4,3,5,2,5,1,2,7,4,7,6,3,449,2.0,Classe C,17.96,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,VICOSA,LESTE,Feminino,Acima de 60,Médio completo,6,4000.0,De 3501 a 4000,666.6666666666666,De 601 a 700,De 21 a 30%,3,3,2,Não,,,6,5,4,8,Sim,Impressa e entregue pelo leiturista,5,4,4,4,5,Sim,Não,Telefone 0800,Falta de energia,4,9,3,5,6,8,5,2,8,6,3,6,1,9,4,2,10,9,9,156,1.0,Baixa renda,3.9,AL,True,False,False,1,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Feminino,Acima de 60,Superior completo,3,2900.0,De 2501 a 3000,966.6666666666666,De 901 a 1000,De 21 a 30%,6,4,8,Sim,Porteiro/ Síndico,4,8,10,9,7,Sim,Aplicativo,8,9,10,9,10,Sim,Não,Telefone 0800,Reclamação,5,10,2,10,7,4,10,3,4,2,7,3,1,5,9,3,9,3,10,202,3.0,Classe C,6.96551724137931,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Masculino,51 - 60,Fundamental incompleto,2,3500.0,De 3001 a 3500,1750.0,De 1501 a 2000,De 11 a 20%,7,7,7,Não,,,10,8,5,10,Sim,Impressa e entregue pelo leiturista,9,6,5,2,9,Sim,Sim,Telefone 0800,Falta de energia,5,9,5,7,7,9,6,9,8,10,1,5,2,4,3,7,1,4,5,251,3.0,Classe B,7.171428571428572,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Masculino,41 - 50,Médio completo,2,1300.0,De 601 a 1500,650.0,De 601 a 700,De 51 a 60%,5,5,4,Sim,Porteiro/ Síndico,4,3,8,9,9,Não,Impressa e entregue pelo leiturista,7,5,6,7,9,Não,Não,WhatsApp,Informações gerais,2,8,6,5,1,10,4,1,10,10,2,4,2,9,5,4,10,8,6,349,1.0,Baixa renda,26.846153846153847,AL,True,False,True,2,Alto (>20%)
ALAGOAS,VICOSA,LESTE,Masculino,41 - 50,Analfabeto,5,5000.0,De 4501 a 5000,1000.0,De 901 a 1000,De 21 a 30%,7,7,7,Não,,,7,3,8,6,Sim,Impressa e entregue pelo leiturista,5,4,4,2,7,Não,Sim,WhatsApp,Religação de energia,2,7,10,4,9,4,1,5,6,8,6,3,9,2,8,3,3,10,5,275,3.0,Classe C,5.5,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,VICOSA,LESTE,Feminino,51 - 60,Fundamental incompleto,5,6666.666666666667,Acima de 5000,1333.3333333333335,De 1001 a 1500,De 11 a 20%,7,7,10,Não,,,3,6,3,4,Sim,E-mail,8,9,10,8,8,Sim,Não,WhatsApp,2ª via de conta,7,6,4,1,1,8,8,9,4,10,2,5,5,10,3,5,4,9,10,236,1.0,Classe B,3.54,AL,False,True,False,1,Baixo (<10%)
MARANHÃO,BARRA DO CORDA,CENTRO,Feminino,31 - 40,Fundamental completo,2,1650.0,De 1501 a 2000,825.0,De 801 a 900,De 51 a 60%,6,4,4,Sim,Rádio,6,5,4,5,10,Não,Site,6,6,5,7,10,Sim,Sim,Agência,2ª via de conta,1,2,5,2,3,2,5,5,2,3,5,5,4,5,3,4,4,4,3,498,2.0,Classe C,30.181818181818183,MA,True,False,True,2,Alto (>20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Feminino,18 - 30,Fundamental incompleto,3,2100.0,De 2001 a 2500,700.0,De 601 a 700,De 51 a 60%,8,8,8,Não,,,9,7,3,10,Não,Impressa e entregue pelo leiturista,7,2,2,8,9,Sim,Sim,Agência,Religação de energia,3,2,1,5,4,3,1,1,1,4,4,2,3,2,3,5,5,5,1,406,1.0,Baixa renda,19.333333333333332,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,18 - 30,Médio completo,4,2666.6666666666665,De 2501 a 3000,666.6666666666666,De 601 a 700,De 41 a 50%,6,6,7,Não,,,9,3,5,8,Não,E-mail,6,5,4,5,5,Sim,Sim,Agência,Religação de energia,4,4,5,4,1,2,4,5,4,5,2,2,2,5,3,1,4,2,1,287,2.0,Baixa renda,10.762500000000001,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,51 - 60,Médio completo,1,1300.0,De 601 a 1500,1300.0,De 1001 a 1500,De 11 a 20%,8,8,9,Sim,Jornal,5,8,10,6,6,Sim,E-mail,10,9,9,10,2,Sim,Não,Agência,Ligação nova de energia,5,5,5,2,5,2,1,5,2,5,6,2,3,5,1,4,4,2,4,216,5.0,Classe B,16.615384615384617,MA,False,False,True,1,Medio (10-20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,Acima de 60,Médio completo,3,2400.0,De 2001 a 2500,800.0,De 701 a 800,De 41 a 50%,7,1,9,Não,,,4,9,7,5,Sim,E-mail,9,9,8,8,6,Sim,Não,Agência,Ligação nova de energia,5,1,4,1,2,4,2,4,3,4,6,1,3,5,5,3,1,3,4,325,1.0,Baixa renda,13.541666666666666,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,51 - 60,Fundamental completo,8,5866.666666666667,Acima de 5000,733.3333333333334,De 701 a 800,De 31 a 40%,10,10,10,Não,,,9,8,5,5,Sim,Impressa e entregue pelo leiturista,6,6,2,8,8,Não,Não,Eletricista/ Leiturista,Informações gerais,5,4,4,2,5,2,4,3,3,1,3,2,6,8,1,2,7,6,3,229,1.0,Baixa renda,3.903409090909091,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,31 - 40,Fundamental completo,2,1900.0,De 1501 a 2000,950.0,De 901 a 1000,De 31 a 40%,7,1,1,Não,,,7,9,9,6,Sim,Impressa e entregue pelo leiturista,9,6,6,2,5,Sim,Sim,Não se Aplica,,7,8,6,10,9,10,8,8,8,7,7,3,1,7,3,3,6,8,8,330,2.0,Classe C,17.36842105263158,MA,False,False,True,1,Medio (10-20%)
MARANHÃO,BARRA DO CORDA,CENTRO,Masculino,41 - 50,Superior completo,3,3500.0,De 3001 a 3500,1166.6666666666667,De 1001 a 1500,De 21 a 30%,4,4,9,Não,,,5,5,8,5,Sim,Impressa e entregue pelo leiturista,10,4,7,10,8,Sim,Não,Telefone 0800,Informações gerais,5,6,7,7,10,7,8,5,5,1,6,4,5,1,4,2,9,4,7,323,4.0,Classe C,9.22857142857143,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,BARRA DO CORDA,CENTRO,Feminino,31 - 40,Pós Graduação/ Mestrado/ Doutorado,1,4000.0,De 3501 a 4000,4000.0,Acima de 2000,Menos que 10%,9,9,7,Não,,,10,5,9,8,Não,Impressa e entregue pelo leiturista,8,9,7,8,10,Sim,Não,Telefone 0800,Falta de energia,8,7,10,6,7,9,6,7,8,8,1,9,6,9,5,3,10,6,7,316,5.0,Classe B,7.9,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,BARRA DO CORDA,CENTRO,Feminino,51 - 60,Fundamental completo,7,4900.0,De 4501 a 5000,700.0,De 601 a 700,De 41 a 50%,10,10,10,Sim,Rádio,7,3,5,3,5,Sim,E-mail,7,6,6,9,10,Sim,Sim,WhatsApp,Informações gerais,7,6,8,5,10,4,9,1,9,5,7,1,8,7,8,6,5,9,5,309,2.0,Baixa renda,6.306122448979592,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,BARRA DO CORDA,CENTRO,Feminino,41 - 50,Analfabeto,2,3000.0,De 2501 a 3000,1500.0,De 1001 a 1500,De 11 a 20%,7,1,9,Sim,Rádio,4,10,5,8,5,Não,Impressa e entregue pelo leiturista,10,7,5,8,5,Sim,Sim,WhatsApp,Religação de energia,10,9,3,9,2,8,2,10,1,2,8,3,8,3,6,1,7,5,9,249,3.0,Classe B,8.3,MA,False,True,False,1,Baixo (<10%)
MARANHÃO,CODO,LESTE,Feminino,18 - 30,Pós Graduação/ Mestrado/ Doutorado,3,1300.0,De 601 a 1500,433.3333333333333,De 401 a 500,De 101 a 150%,8,8,8,Sim,Porteiro/ Síndico,10,6,7,9,7,Não,E-mail,7,7,1,6,8,Sim,Não,Agência,Falta de energia,4,1,1,2,4,3,2,5,3,4,5,3,6,4,4,3,5,1,2,485,1.0,Baixa renda,37.30769230769231,MA,True,False,True,2,Alto (>20%)
MARANHÃO,CODO,LESTE,Masculino,18 - 30,Fundamental incompleto,1,1900.0,De 1501 a 2000,1900.0,De 1501 a 2000,De 11 a 20%,1,1,1,Não,,,3,6,7,10,Sim,Impressa e entregue pelo leiturista,5,4,2,9,10,Não,Sim,Não se Aplica,Reclamação,5,10,8,9,7,10,10,7,6,3,3,1,5,7,1,4,2,2,6,301,4.0,Classe B,15.842105263157894,MA,False,True,True,2,Medio (10-20%)
MARANHÃO,CODO,LESTE,Masculino,41 - 50,Pós Graduação/ Mestrado/ Doutorado,2,5000.0,De 4501 a 5000,2500.0,Acima de 2000,Menos que 10%,10,10,9,Não,,,9,6,10,4,Não,E-mail,5,4,5,3,9,Não,Não,Não se Aplica,,10,8,9,7,10,10,7,6,5,4,8,8,4,5,2,2,7,3,10,255,2.0,Classe B,5.1,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,CODO,LESTE,Feminino,31 - 40,Superior completo,2,4000.0,De 3501 a 4000,2000.0,De 1501 a 2000,De 11 a 20%,9,9,7,Sim,Jornal,8,6,10,10,5,Não,Site,10,9,3,8,6,Sim,Não,Site,,5,9,7,5,10,7,9,5,9,5,4,1,5,4,8,8,6,3,9,373,3.0,Classe B,9.325,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,CODO,LESTE,Feminino,Acima de 60,Médio completo,4,2666.6666666666665,De 2501 a 3000,666.6666666666666,De 601 a 700,De 71 a 80%,1,1,10,Sim,Porteiro/ Síndico,8,4,9,9,7,Não,Impressa e entregue pelo leiturista,5,5,3,2,10,Sim,Sim,Telefone 0800,Falta de energia,5,6,8,7,3,5,2,4,8,10,7,4,10,5,5,8,10,1,5,489,2.0,Baixa renda,18.337500000000002,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,CODO,LESTE,Masculino,Acima de 60,Médio completo,5,3666.6666666666665,De 3501 a 4000,733.3333333333333,De 701 a 800,De 61 a 70%,1,1,8,Sim,Jornal,4,7,8,4,8,Sim,Impressa e entregue pelo leiturista,6,2,6,3,9,Não,Não,Telefone 0800,Informações gerais,6,6,1,10,6,2,6,1,4,4,5,10,1,2,9,5,8,5,6,496,1.0,Baixa renda,13.527272727272727,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,CODO,LESTE,Feminino,31 - 40,Fundamental incompleto,2,1650.0,De 1501 a 2000,825.0,De 801 a 900,De 21 a 30%,5,5,8,Não,,,8,3,9,6,Não,E-mail,4,2,2,8,6,Sim,Não,Telefone 0800,Falta de energia,8,7,7,6,6,8,10,9,7,3,1,1,1,6,1,8,6,1,9,178,2.0,Classe C,10.787878787878787,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,CODO,LESTE,Masculino,18 - 30,Analfabeto,4,3066.6666666666665,De 3001 a 3500,766.6666666666666,De 701 a 800,De 41 a 50%,9,9,9,Não,,,7,6,10,8,Sim,Impressa e entregue pelo leiturista,9,9,3,9,1,Não,Não,Telefone 0800,Reclamação,8,5,9,8,6,7,6,7,6,2,5,1,7,6,5,2,5,8,6,312,3.0,Baixa renda,10.173913043478262,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,CODO,LESTE,Feminino,31 - 40,Médio completo,5,6666.666666666667,Acima de 5000,1333.3333333333335,De 1001 a 1500,De 21 a 30%,8,8,9,Não,,,4,7,6,3,Não,Impressa e entregue pelo leiturista,3,3,3,8,6,Não,Não,Telefone 0800,Falta de energia,8,7,5,7,9,8,8,9,7,10,7,1,3,1,6,10,10,2,8,312,1.0,Classe B,4.68,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,CODO,LESTE,Masculino,18 - 30,Pós Graduação/ Mestrado/ Doutorado,4,2400.0,De 2001 a 2500,600.0,De 501 a 600,De 31 a 40%,8,8,8,Sim,Jornal,9,10,4,5,5,Não,Aplicativo,8,9,7,3,4,Sim,Sim,Telefone 0800,Falta de energia,9,5,7,10,6,5,9,8,5,6,7,6,5,4,3,7,5,7,10,217,2.0,Baixa renda,9.041666666666668,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,CODO,LESTE,Masculino,51 - 60,Fundamental completo,4,2200.0,De 2001 a 2500,550.0,De 501 a 600,De 81 a 90%,8,3,3,Não,,,4,9,7,7,Sim,E-mail,6,6,6,8,9,Sim,Não,WhatsApp,Tarifa Social,4,8,4,3,10,1,4,7,10,6,2,3,8,8,8,1,1,6,10,491,1.0,Baixa renda,22.318181818181817,MA,True,False,True,2,Alto (>20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,31 - 40,Médio completo,6,4000.0,De 3501 a 4000,666.6666666666666,De 601 a 700,De 51 a 60%,10,10,7,Sim,Jornal,6,7,5,5,4,Não,Impressa e entregue pelo leiturista,10,4,2,9,4,Não,Não,Agência,Parcelamento de conta,1,5,5,1,1,2,5,3,5,6,4,2,3,4,4,4,3,5,1,401,2.0,Baixa renda,10.025,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,41 - 50,Fundamental incompleto,6,4800.0,De 4501 a 5000,800.0,De 701 a 800,De 41 a 50%,4,4,7,Sim,Porteiro/ Síndico,4,8,9,8,8,Sim,Impressa e entregue pelo leiturista,7,5,1,8,10,Sim,Sim,Agência,Religação de energia,1,3,2,2,4,5,2,3,3,1,1,1,4,5,4,2,1,3,5,334,2.0,Baixa renda,6.958333333333333,MA,True,True,False,2,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,51 - 60,Médio completo,2,1500.0,De 601 a 1500,750.0,De 701 a 800,De 31 a 40%,7,7,2,Sim,Carro de som,4,5,6,7,9,Sim,E-mail,8,9,9,8,8,Sim,Sim,Agência,Ligação nova de energia,2,5,2,4,4,5,1,5,1,2,2,3,6,2,5,5,3,4,5,290,2.0,Baixa renda,19.333333333333332,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,51 - 60,Médio completo,3,2000.0,De 1501 a 2000,666.6666666666666,De 601 a 700,De 41 a 50%,2,2,8,Não,,,7,10,8,6,Não,Impressa e entregue pelo leiturista,10,5,4,2,2,Não,Sim,Agência,Troca de Titularidade,2,4,1,3,4,3,4,3,1,2,6,2,4,4,3,4,5,1,1,311,1.0,Baixa renda,15.55,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,41 - 50,Fundamental incompleto,1,2100.0,De 2001 a 2500,2100.0,Acima de 2000,De 21 a 30%,5,5,5,Não,,,4,5,7,5,Não,Site,4,6,3,6,6,Não,Sim,Agência,Parcelamento de conta,4,4,2,1,5,4,4,2,4,4,4,4,3,4,3,4,3,3,3,444,2.0,Classe B,21.142857142857142,MA,False,True,True,2,Alto (>20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,18 - 30,Fundamental completo,2,4000.0,De 3501 a 4000,2000.0,De 1501 a 2000,De 11 a 20%,1,1,1,Não,,,4,7,4,10,Sim,E-mail,9,6,6,9,8,Sim,Não,Agência,Ligação nova de energia,4,1,4,3,3,3,2,4,4,4,1,4,3,5,4,4,5,4,1,326,5.0,Classe B,8.15,MA,False,False,False,0,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,Acima de 60,Médio completo,1,1600.0,De 1501 a 2000,1600.0,De 1501 a 2000,De 21 a 30%,9,9,9,Sim,Carro de som,9,7,8,5,8,Não,E-mail,4,7,5,6,10,Não,Não,Aplicativo,2ª via de conta,1,2,4,3,5,4,3,4,1,1,5,7,4,4,5,5,2,2,1,431,1.0,Classe B,26.937499999999996,MA,False,False,True,1,Alto (>20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,31 - 40,Analfabeto,4,2533.3333333333335,De 2501 a 3000,633.3333333333334,De 601 a 700,De 51 a 60%,4,4,7,Sim,Porteiro/ Síndico,5,9,3,8,10,Sim,Impressa e entregue pelo leiturista,6,6,7,3,7,Não,Não,Aplicativo,Informações gerais,3,1,5,1,4,2,1,3,1,3,2,5,3,5,3,1,1,1,2,381,1.0,Baixa renda,15.039473684210524,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,41 - 50,Fundamental completo,7,5600.0,Acima de 5000,800.0,De 701 a 800,De 61 a 70%,7,7,7,Sim,Rádio,5,6,5,8,8,Sim,Impressa e entregue pelo leiturista,1,2,3,5,4,Não,Não,Aplicativo,2ª via de conta,4,5,5,5,4,1,3,1,4,5,6,4,4,5,3,5,2,1,1,485,2.0,Baixa renda,8.660714285714285,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,31 - 40,Analfabeto,5,1000.0,De 601 a 1500,200.0,De 101 a 200,Acima de 150%,4,4,7,Não,,,9,7,4,8,Sim,Impressa e entregue pelo leiturista,4,7,4,10,7,Sim,Sim,Aplicativo,2ª via de conta,5,5,3,3,2,3,1,3,3,6,2,4,1,2,5,3,5,1,1,385,2.0,Extrema pobreza,38.5,MA,True,True,True,3,Alto (>20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,31 - 40,Médio completo,4,2400.0,De 2001 a 2500,600.0,De 501 a 600,De 41 a 50%,7,7,8,Não,,,5,9,10,8,Sim,E-mail,9,9,8,9,1,Sim,Sim,E-mail,Informações gerais,9,7,8,5,8,8,5,10,7,4,5,3,5,2,5,2,2,5,7,291,1.0,Baixa renda,12.125,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,31 - 40,Analfabeto,11,5133.333333333333,Acima de 5000,466.66666666666663,De 401 a 500,De 61 a 70%,4,4,7,Sim,Carro de som,9,5,3,6,9,Sim,Impressa e entregue pelo leiturista,5,6,4,8,7,Sim,Não,Não se Aplica,,6,7,7,10,7,9,10,9,6,7,7,4,4,1,4,2,6,5,9,316,1.0,Baixa renda,6.155844155844156,MA,True,True,False,2,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,51 - 60,Superior completo,1,3500.0,De 3001 a 3500,3500.0,Acima de 2000,De 11 a 20%,7,1,7,Não,,,7,5,4,9,Não,Impressa e entregue pelo leiturista,7,9,10,9,6,Não,Não,Não se Aplica,,8,9,7,8,9,8,9,8,10,7,5,6,7,5,6,2,5,5,9,430,5.0,Classe B,12.285714285714286,MA,False,False,True,1,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,Acima de 60,Médio completo,5,3333.3333333333335,De 3001 a 3500,666.6666666666667,De 601 a 700,De 41 a 50%,5,5,3,Sim,Porteiro/ Síndico,6,5,7,8,6,Não,Impressa e entregue pelo leiturista,3,5,3,7,7,Não,Não,Site,,9,8,7,6,8,10,5,9,7,3,5,7,4,6,6,8,8,6,8,298,2.0,Baixa renda,8.94,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,31 - 40,Analfabeto,9,1800.0,De 1501 a 2000,200.0,De 101 a 200,Acima de 150%,2,2,2,Não,,,7,10,7,8,Sim,Impressa e entregue pelo leiturista,3,2,1,7,2,Não,Não,Telefone 0800,Reclamação,5,7,10,8,5,7,8,9,10,2,2,6,2,6,4,8,2,7,5,314,1.0,Extrema pobreza,17.444444444444446,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,18 - 30,Fundamental incompleto,4,2933.3333333333335,De 2501 a 3000,733.3333333333334,De 701 a 800,De 21 a 30%,9,9,8,Sim,Porteiro/ Síndico,9,4,9,8,7,Não,Site,10,8,2,9,4,Não,Sim,Telefone 0800,Falta de energia,5,5,8,5,6,8,10,6,8,4,1,8,8,8,8,1,4,4,9,160,2.0,Baixa renda,5.454545454545454,MA,True,True,False,2,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,31 - 40,Analfabeto,8,8000.0,Acima de 5000,1000.0,De 901 a 1000,De 11 a 20%,5,5,5,Não,,,8,8,7,8,Sim,Impressa e entregue pelo leiturista,10,5,5,10,2,Não,Sim,Telefone 0800,Informações gerais,5,10,8,10,10,9,9,5,7,6,9,5,7,2,2,4,6,5,6,202,1.0,Classe C,2.5250000000000004,MA,False,True,False,1,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,41 - 50,Fundamental completo,7,4433.333333333333,De 4001 a 4500,633.3333333333333,De 601 a 700,De 31 a 40%,8,8,8,Não,,,6,7,6,9,Não,Impressa e entregue pelo leiturista,3,1,6,2,1,Não,Sim,Telefone 0800,Informações gerais,6,5,6,7,9,8,6,7,5,10,4,2,1,9,1,8,5,8,9,250,1.0,Baixa renda,5.639097744360902,MA,True,False,False,1,Baixo (<10%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,41 - 50,Fundamental completo,3,2400.0,De 2001 a 2500,800.0,De 701 a 800,De 51 a 60%,9,6,9,Sim,Jornal,9,10,7,9,8,Sim,Impressa e entregue pelo leiturista,3,5,5,6,4,Não,Sim,Telefone 0800,Falta de energia,8,7,5,5,6,6,8,9,9,5,2,10,8,2,4,5,3,10,10,463,2.0,Baixa renda,19.291666666666664,MA,True,False,True,2,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Masculino,41 - 50,Fundamental incompleto,4,2533.3333333333335,De 2501 a 3000,633.3333333333334,De 601 a 700,De 51 a 60%,6,4,7,Sim,Carro de som,8,4,8,8,7,Não,Impressa e entregue pelo leiturista,4,6,4,8,4,Não,Sim,Telefone 0800,Falta de energia,8,9,5,9,5,8,5,8,8,1,4,9,1,2,5,9,1,8,5,342,2.0,Baixa renda,13.499999999999998,MA,True,True,True,3,Medio (10-20%)
MARANHÃO,IMPERATRIZ,SUL,Feminino,51 - 60,Analfabeto,3,1900.0,De 1501 a 2000,633.3333333333334,De 601 a 700,De 61 a 70%,7,7,7,Sim,Carro de som,6,7,9,7,5,Sim,Impressa e entregue pelo leiturista,8,8,4,8,1,Sim,Sim,Telefone 0800,Informações gerais,9,3,10,3,4,4,4,9,2,9,4,5,7,4,2,10,7,5,7,445,2.0,Baixa renda,23.42105263157895,MA,True,True,True,3,Alto (>20%)
